Food Product,Main Ingredient,Sweetener,Fat/Oil,Seasoning,Allergens,Price ($),Customer rating,Is_Allergen
2,2,92,85,11,2,10.15,3.1,0
2,2,92,85,11,2,6.17,4.5,0
4,2,279,58,11,2,19.65,4.1,0
4,2,279,58,11,2,17.48,4.7,0
1,3,279,58,11,83,10.83,3.7,0
1,1,92,43,5,83,9.92,2.3,0
1,1,92,85,11,83,6.14,3.2,0
2,5,279,90,2,83,14.99,4.8,0
1,2,279,10,2,83,12.45,3.8,0
3,4,12,5,20,83,13.37,3.2,0
1,3,279,58,3,83,18.9,4.2,0
2,3,279,58,1,83,16.95,3.1,0
1,7,279,85,3,83,14.82,3.5,0
2,5,279,58,20,83,6.29,3.9,0
4,2,279,10,2,83,10.98,3.4,0
3,12,279,90,6,83,19.76,3.3,0
1,5,92,5,20,83,6.89,1.2,0
2,5,279,90,3,83,17.33,3.1,0
2,5,92,5,2,83,12.97,4.5,0
1,61,279,85,2,83,6.56,3.5,0
1,1,279,58,6,83,7.68,3.3,0
3,15,279,3,1,83,10.54,1.6,0
1,4,12,5,20,83,19.77,4.5,0
1,1,279,58,1,83,7.01,4.6,0
3,61,279,1,1,83,11.07,4.4,0
1,6,92,5,1,83,8.58,2.4,0
2,3,279,90,1,83,12.81,1.3,0
2,2,279,85,2,83,6.14,1.6,0
2,13,279,90,1,83,12.62,3.6,0
1,3,279,58,1,83,6.77,1.8,0
1,61,279,90,1,83,14.04,4.5,0
1,61,279,85,2,83,11.52,1.5,0
1,12,279,90,6,83,10.16,4.8,0
2,5,279,85,1,83,8.67,4.9,0
1,1,12,58,1,83,7.25,2.2,0
1,5,279,90,1,83,14.38,1.5,0
1,4,92,3,1,83,7.34,2.4,0
2,7,279,90,2,83,13.84,4.8,0
1,61,279,10,3,83,7.03,2.7,0
1,11,279,90,1,83,11.97,1.8,0
1,5,279,85,2,83,11.16,3.1,0
2,5,12,58,20,83,15.79,4.5,0
2,11,279,2,4,83,8.15,4.8,0
3,3,92,4,8,83,16.12,2.7,0
2,3,279,58,3,83,10.74,4.7,0
3,12,279,90,6,83,19.25,2.6,0
3,61,279,7,3,83,16.62,4.7,0
3,15,279,3,2,83,15.43,2.3,0
3,4,92,7,2,83,14.47,2.1,0
2,61,279,85,4,83,14.2,2.5,0
1,5,279,90,1,83,19.4,1.8,0
2,13,279,90,2,83,6.83,1.8,0
1,4,279,85,2,83,17.48,2.3,0
2,2,279,85,2,83,5.81,4.1,0
1,12,279,90,6,83,16.69,5.0,0
2,61,279,85,2,83,16.27,3.0,0
2,1,12,7,2,83,19.83,4.7,0
2,5,279,58,3,83,9.12,1.8,0
2,11,279,2,4,83,9.92,4.7,0
3,3,92,4,8,83,11.96,3.6,0
2,3,279,58,3,83,19.0,3.9,0
3,12,279,90,6,83,19.73,3.7,0
3,61,279,7,3,83,8.97,1.7,0
3,15,279,3,2,83,18.82,4.0,0
3,4,92,7,2,83,6.88,1.3,0
2,61,279,85,4,83,7.32,3.9,0
1,61,92,85,2,83,19.61,1.0,0
1,11,279,27,1,83,7.45,2.3,0
3,61,279,7,3,83,8.52,1.1,0
2,3,279,27,2,83,7.34,1.5,0
1,4,279,10,1,83,16.26,3.8,0
1,5,279,27,1,83,16.93,4.6,0
1,1,279,27,1,83,14.77,1.6,0
2,61,92,27,2,83,17.66,1.3,0
2,2,92,27,2,83,5.93,1.9,0
2,61,279,27,2,83,11.43,2.3,0
1,61,279,3,4,83,6.1,3.2,0
1,1,279,7,1,83,6.37,4.8,0
1,61,279,3,4,83,11.59,4.8,0
1,4,279,27,1,83,7.54,2.7,0
1,4,92,58,1,83,13.92,2.5,0
1,2,92,27,3,83,14.38,3.7,0
2,61,279,27,2,83,17.74,3.4,0
2,2,92,27,2,83,5.94,4.0,0
2,3,279,27,2,83,8.63,1.0,0
1,5,92,27,3,83,6.69,1.6,0
1,4,92,1,3,83,11.64,2.8,0
3,2,279,90,2,1,13.69,2.0,0
